index,X,Y,Z,X2,Y2,Z2
1680,-4.851489e-02,1.410077e-01,8.902579e-04,-4.031974e+01,3.085820e+02,7.452808e+00
1681,-4.663243e-02,1.413582e-01,8.571200e-04,-2.582970e+00,3.107327e+02,6.571738e+00
1682,-4.857674e-02,1.411710e-01,8.915049e-04,-4.036940e+01,3.089493e+02,7.461720e+00
1683,-4.669200e-02,1.415218e-01,8.583268e-04,-2.587703e+00,3.111023e+02,6.579596e+00
1684,-4.863859e-02,1.413344e-01,8.927519e-04,-4.041906e+01,3.093165e+02,7.470631e+00
1685,-4.675158e-02,1.416855e-01,8.595336e-04,-2.592436e+00,3.114719e+02,6.587454e+00
1686,-4.870044e-02,1.414977e-01,8.939988e-04,-4.046872e+01,3.096838e+02,7.479543e+00
1687,-4.681115e-02,1.418492e-01,8.607404e-04,-2.597169e+00,3.118415e+02,6.595312e+00
1688,-4.876229e-02,1.416611e-01,8.952458e-04,-4.051838e+01,3.100511e+02,7.488454e+00
1689,-4.687072e-02,1.420128e-01,8.619472e-04,-2.601902e+00,3.122111e+02,6.603170e+00
1690,-4.882414e-02,1.418244e-01,8.964928e-04,-4.056804e+01,3.104183e+02,7.497366e+00
1691,-4.693029e-02,1.421765e-01,8.631540e-04,-2.606635e+00,3.125807e+02,6.611028e+00
1692,-4.888599e-02,1.419878e-01,8.977398e-04,-4.061771e+01,3.107856e+02,7.506277e+00
1693,-4.698987e-02,1.423402e-01,8.643608e-04,-2.611368e+00,3.129503e+02,6.618885e+00
1694,-4.894784e-02,1.421511e-01,8.989867e-04,-4.066737e+01,3.111529e+02,7.515188e+00
1695,-4.704944e-02,1.425039e-01,8.655676e-04,-2.616101e+00,3.133199e+02,6.626743e+00
1696,-4.900969e-02,1.423145e-01,9.002337e-04,-4.071703e+01,3.115201e+02,7.524100e+00
1697,-4.710901e-02,1.426675e-01,8.667744e-04,-2.620834e+00,3.136895e+02,6.634601e+00
1698,-4.907154e-02,1.424778e-01,9.014807e-04,-4.076669e+01,3.118874e+02,7.533011e+00
1699,-4.716859e-02,1.428312e-01,8.679812e-04,-2.625567e+00,3.140592e+02,6.642459e+00
1700,-4.913339e-02,1.426412e-01,9.027276e-04,-4.081635e+01,3.122547e+02,7.541923e+00
1701,-4.722816e-02,1.429949e-01,8.691880e-04,-2.630301e+00,3.144288e+02,6.650317e+00
1702,-4.919524e-02,1.428045e-01,9.039746e-04,-4.086601e+01,3.126219e+02,7.550834e+00
1703,-4.728773e-02,1.431585e-01,8.703948e-04,-2.635034e+00,3.147984e+02,6.658175e+00
1704,-4.925709e-02,1.429679e-01,9.052216e-04,-4.091567e+01,3.129892e+02,7.559746e+00
1705,-4.734731e-02,1.433222e-01,8.716016e-04,-2.639767e+00,3.151680e+02,6.666033e+00
1706,-4.931894e-02,1.431312e-01,9.064685e-04,-4.096533e+01,3.133565e+02,7.568657e+00
1707,-4.740688e-02,1.434859e-01,8.728084e-04,-2.644500e+00,3.155376e+02,6.673890e+00
1708,-4.938079e-02,1.432946e-01,9.077155e-04,-4.101499e+01,3.137237e+02,7.577569e+00
1709,-4.746645e-02,1.436495e-01,8.740152e-04,-2.649233e+00,3.159072e+02,6.681748e+00
1710,-4.944263e-02,1.434579e-01,9.089625e-04,-4.106465e+01,3.140910e+02,7.586480e+00
1711,-4.752602e-02,1.438132e-01,8.752220e-04,-2.653966e+00,3.162768e+02,6.689606e+00
1712,-4.950448e-02,1.436212e-01,9.102094e-04,-4.111431e+01,3.144583e+02,7.595391e+00
1713,-4.758560e-02,1.439769e-01,8.764288e-04,-2.658699e+00,3.166464e+02,6.697464e+00
1714,-4.956633e-02,1.437846e-01,9.114564e-04,-4.116397e+01,3.148255e+02,7.604303e+00
1715,-4.764517e-02,1.441405e-01,8.776356e-04,-2.663432e+00,3.170160e+02,6.705322e+00
1716,-4.962818e-02,1.439479e-01,9.127034e-04,-4.121363e+01,3.151928e+02,7.613214e+00
1717,-4.770474e-02,1.443042e-01,8.788424e-04,-2.668165e+00,3.173856e+02,6.713180e+00
1718,-4.969003e-02,1.441113e-01,9.139503e-04,-4.126329e+01,3.155601e+02,7.622126e+00
1719,-4.776432e-02,1.444679e-01,8.800492e-04,-2.672898e+00,3.177552e+02,6.721038e+00
1720,-4.975188e-02,1.442746e-01,9.151973e-04,-4.131295e+01,3.159274e+02,7.631037e+00
1721,-4.782389e-02,1.446315e-01,8.812560e-04,-2.677632e+00,3.181249e+02,6.728896e+00
1722,-4.981373e-02,1.444380e-01,9.164443e-04,-4.136262e+01,3.162946e+02,7.639949e+00
1723,-4.788346e-02,1.447952e-01,8.824628e-04,-2.682365e+00,3.184945e+02,6.736753e+00
1724,-4.987558e-02,1.446013e-01,9.176912e-04,-4.141228e+01,3.166619e+02,7.648860e+00
1725,-4.794303e-02,1.449589e-01,8.836696e-04,-2.687098e+00,3.188641e+02,6.744611e+00
1726,-4.993743e-02,1.447647e-01,9.189382e-04,-4.146194e+01,3.170292e+02,7.657771e+00
1727,-4.800261e-02,1.451225e-01,8.848764e-04,-2.691831e+00,3.192337e+02,6.752469e+00
1728,-4.999928e-02,1.449280e-01,9.201852e-04,-4.151160e+01,3.173964e+02,7.666683e+00
1729,-4.806218e-02,1.452862e-01,8.860832e-04,-2.696564e+00,3.196033e+02,6.760327e+00
1730,-5.006113e-02,1.450914e-01,9.214322e-04,-4.156126e+01,3.177637e+02,7.675594e+00
1731,-4.812175e-02,1.454499e-01,8.872900e-04,-2.701297e+00,3.199729e+02,6.768185e+00
1732,-5.012298e-02,1.452547e-01,9.226791e-04,-4.161092e+01,3.181310e+02,7.684506e+00
1733,-4.818133e-02,1.456135e-01,8.884968e-04,-2.706030e+00,3.203425e+02,6.776043e+00
1734,-5.018483e-02,1.454181e-01,9.239261e-04,-4.166058e+01,3.184982e+02,7.693417e+00
1735,-4.824090e-02,1.457772e-01,8.897036e-04,-2.710763e+00,3.207121e+02,6.783901e+00
1736,-5.024668e-02,1.455814e-01,9.251731e-04,-4.171024e+01,3.188655e+02,7.702329e+00
1737,-4.830047e-02,1.459409e-01,8.909104e-04,-2.715496e+00,3.210817e+02,6.791758e+00
1738,-5.030853e-02,1.457448e-01,9.264200e-04,-4.175990e+01,3.192328e+02,7.711240e+00
1739,-4.836005e-02,1.461045e-01,8.921172e-04,-2.720229e+00,3.214513e+02,6.799616e+00
1740,-5.037038e-02,1.459081e-01,9.276670e-04,-4.180956e+01,3.196000e+02,7.720151e+00
1741,-4.841962e-02,1.462682e-01,8.933240e-04,-2.724963e+00,3.218209e+02,6.807474e+00
1742,-5.043223e-02,1.460715e-01,9.289140e-04,-4.185922e+01,3.199673e+02,7.729063e+00
1743,-4.847919e-02,1.464319e-01,8.945308e-04,-2.729696e+00,3.221905e+02,6.815332e+00
1744,-5.049408e-02,1.462348e-01,9.301609e-04,-4.190888e+01,3.203346e+02,7.737974e+00
1745,-4.853876e-02,1.465955e-01,8.957376e-04,-2.734429e+00,3.225602e+02,6.823190e+00
1746,-5.055592e-02,1.463982e-01,9.314079e-04,-4.195854e+01,3.207018e+02,7.746886e+00
1747,-4.859834e-02,1.467592e-01,8.969444e-04,-2.739162e+00,3.229298e+02,6.831048e+00
1748,-5.061777e-02,1.465615e-01,9.326549e-04,-4.200820e+01,3.210691e+02,7.755797e+00
1749,-4.865791e-02,1.469229e-01,8.981512e-04,-2.743895e+00,3.232994e+02,6.838906e+00
1750,-5.067962e-02,1.467249e-01,9.339018e-04,-4.205786e+01,3.214364e+02,7.764709e+00
1751,-4.871748e-02,1.470865e-01,8.993580e-04,-2.748628e+00,3.236690e+02,6.846763e+00
1752,-5.074147e-02,1.468882e-01,9.351488e-04,-4.210752e+01,3.218037e+02,7.773620e+00
1753,-4.877706e-02,1.472502e-01,9.005648e-04,-2.753361e+00,3.240386e+02,6.854621e+00
1754,-5.080332e-02,1.470516e-01,9.363958e-04,-4.215719e+01,3.221709e+02,7.782531e+00
1755,-4.883663e-02,1.474139e-01,9.017716e-04,-2.758094e+00,3.244082e+02,6.862479e+00
1756,-5.086517e-02,1.472149e-01,9.376427e-04,-4.220685e+01,3.225382e+02,7.791443e+00
1757,-4.889620e-02,1.475775e-01,9.029784e-04,-2.762827e+00,3.247778e+02,6.870337e+00
1758,-5.092702e-02,1.473782e-01,9.388897e-04,-4.225651e+01,3.229055e+02,7.800354e+00
1759,-4.895578e-02,1.477412e-01,9.041852e-04,-2.767561e+00,3.251474e+02,6.878195e+00
1760,-5.098887e-02,1.475416e-01,9.401367e-04,-4.230617e+01,3.232727e+02,7.809266e+00
1761,-4.901535e-02,1.479049e-01,9.053920e-04,-2.772294e+00,3.255170e+02,6.886053e+00
1762,-5.105072e-02,1.477049e-01,9.413836e-04,-4.235583e+01,3.236400e+02,7.818177e+00
1763,-4.907492e-02,1.480685e-01,9.065988e-04,-2.777027e+00,3.258866e+02,6.893911e+00
1764,-5.111257e-02,1.478683e-01,9.426306e-04,-4.240549e+01,3.240073e+02,7.827089e+00
1765,-4.913449e-02,1.482322e-01,9.078056e-04,-2.781760e+00,3.262562e+02,6.901768e+00
1766,-5.117442e-02,1.480316e-01,9.438776e-04,-4.245515e+01,3.243745e+02,7.836000e+00
1767,-4.919407e-02,1.483959e-01,9.090124e-04,-2.786493e+00,3.266259e+02,6.909626e+00
1768,-5.123627e-02,1.481950e-01,9.451246e-04,-4.250481e+01,3.247418e+02,7.844911e+00
1769,-4.925364e-02,1.485595e-01,9.102192e-04,-2.791226e+00,3.269955e+02,6.917484e+00
1770,-5.129812e-02,1.483583e-01,9.463715e-04,-4.255447e+01,3.251091e+02,7.853823e+00
1771,-4.931321e-02,1.487232e-01,9.114260e-04,-2.795959e+00,3.273651e+02,6.925342e+00
1772,-5.135997e-02,1.485217e-01,9.476185e-04,-4.260413e+01,3.254763e+02,7.862734e+00
1773,-4.937279e-02,1.488869e-01,9.126328e-04,-2.800692e+00,3.277347e+02,6.933200e+00
1774,-5.142182e-02,1.486850e-01,9.488655e-04,-4.265379e+01,3.258436e+02,7.871646e+00
1775,-4.943236e-02,1.490506e-01,9.138396e-04,-2.805425e+00,3.281043e+02,6.941058e+00
1776,-5.148367e-02,1.488484e-01,9.501124e-04,-4.270345e+01,3.262109e+02,7.880557e+00
1777,-4.949193e-02,1.492142e-01,9.150464e-04,-2.810158e+00,3.284739e+02,6.948916e+00
1778,-5.154552e-02,1.490117e-01,9.513594e-04,-4.275311e+01,3.265781e+02,7.889469e+00
1779,-4.955150e-02,1.493779e-01,9.162532e-04,-2.814892e+00,3.288435e+02,6.956774e+00
1780,-5.160737e-02,1.491751e-01,9.526064e-04,-4.280277e+01,3.269454e+02,7.898380e+00
1781,-4.961108e-02,1.495416e-01,9.174600e-04,-2.819625e+00,3.292131e+02,6.964631e+00
1782,-5.166921e-02,1.493384e-01,9.538533e-04,-4.285243e+01,3.273127e+02,7.907292e+00
1783,-4.967065e-02,1.497052e-01,9.186668e-04,-2.824358e+00,3.295827e+02,6.972489e+00
